City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
45,Ouesso,CG,77.34,few clouds,1.6136,16.0517,Hôtel ABENI
47,Tignere,CM,67.77,clear sky,7.3667,12.65,SADECK
50,Bitam,GA,71.55,overcast clouds,2.076,11.5007,Bénédicta hôtel
51,Hobyo,SO,76.6,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
52,Chissamba,AO,66.33,scattered clouds,-12.1667,17.3333,
53,Buta,CD,74.77,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
54,Atar,MR,66.34,overcast clouds,20.5169,-13.0499,Oumou Elghoura
55,Mananara,MG,76.12,scattered clouds,-16.1667,49.7667,Chez Roger
56,Qandala,SO,75.04,clear sky,11.472000000000001,49.8728,
57,Arlit,NE,73.81,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
60,Araguaina,BR,79.63,light rain,-7.1911,-48.2072,Hotel São Vicente
61,Doha,QA,66.2,clear sky,25.2867,51.5333,Doha Marriott Hotel
62,Ambilobe,MG,75.51,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
63,Lavumisa,SZ,75.2,light rain,-27.31,31.892,ROADSIDE B&B
64,Calabar,NG,79.74,broken clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
66,Mayumba,GA,78.62,overcast clouds,-3.432,10.6554,LIKWALE LODGE
67,Sokolo,ML,74.07,overcast clouds,14.7328,-6.1219,
68,Umm Lajj,SA,69.3,clear sky,25.0213,37.2685,Moon light Furnished Units
71,Kelo,TD,77.58,scattered clouds,9.3086,15.8066,Hotel Saint Boumayo
74,Codrington,AU,55.31,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
75,Samfya,ZM,66.85,light rain,-11.3649,29.5565,Chita Lodge Samfya
77,Kismayo,SO,77.61,clear sky,-0.3582,42.5454,Agan-Hotel
78,Bandarbeyla,SO,74.89,clear sky,9.4942,50.8122,JABIR HOTEL
79,Tambura,SS,75.06,broken clouds,5.6,27.4667,Rikito Lodge
80,Najran,SA,62.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
83,Grand-Santi,GF,79.29,few clouds,4.25,-54.3833,Hotel La Villa Couacou
84,Takoradi,GH,79.83,broken clouds,4.8845,-1.7554,Raybow International Hotel
85,Mocuba,MZ,78.22,overcast clouds,-16.8392,36.9856,Phama Lodge
87,Sao Felix Do Xingu,BR,76.75,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
88,Ponta Delgada,PT,62.01,moderate rain,37.7333,-25.6667,Vila Nova Hotel
90,Gat,IL,57.99,clear sky,31.61,34.7642,OlusHome
92,Karuzi,BI,62.1,overcast clouds,-3.125,30.1333,Hôtel Cercle La Girafe
95,Dosso,NE,75.96,few clouds,13.049000000000001,3.1937,Hotel Toubal
97,Ihosy,MG,72.63,light rain,-22.4,46.1167,Tamana Hôtel
100,Santiago Del Estero,AR,72.0,broken clouds,-27.7951,-64.2615,Hotel Urbano
101,Puerto Del Rosario,ES,64.4,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
102,Ponta Grossa,BR,75.49,scattered clouds,-25.095,-50.1619,Hotel Ponta Grossa Plateau
103,Calama,CL,73.4,clear sky,-22.4667,-68.9333,Park Hotel Calama
104,Laguna,US,62.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
105,Idenao,CM,78.8,few clouds,4.2475,9.0047,Moland Beach Resort
107,Grand-Lahou,CI,79.68,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
108,Marzuq,YE,59.32,clear sky,14.4,46.4667,
110,Asfi,MA,55.92,clear sky,32.2994,-9.2372,Hôtel Abda
111,Taoudenni,ML,61.12,clear sky,22.6783,-3.9836,
112,Porbandar,IN,64.2,clear sky,21.6422,69.6093,Lords Inn Porbandar
115,Harper,LR,78.89,scattered clouds,4.375,-7.7169,Screensaver
119,Araouane,ML,63.39,overcast clouds,18.9048,-3.5265,
121,Mogadishu,SO,76.98,clear sky,2.0371,45.3438,Hotel Juba
125,Tabou,CI,79.21,clear sky,4.423,-7.3528,hotêl doufoulougou
127,Marco,US,66.2,overcast clouds,25.9726,-81.729,Marco Island Lakeside Inn
134,San Rafael,AR,77.43,clear sky,-34.6177,-68.3301,Hotel San Rafael
135,Tessalit,ML,60.08,overcast clouds,20.1986,1.0114,
138,Biltine,TD,68.23,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
141,Ambam,CM,71.56,overcast clouds,2.3833,11.2833,Hôtel Madeleine
143,Faya,SA,55.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
